"filename", "language", "CSS", "JavaScript", "XML", "JSON", "comment", "blank", "total"
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectEnvironment.js", "JavaScript", 0, 107, 0, 0, 0, 11, 118
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectGallery.js", "JavaScript", 0, 107, 0, 0, 12, 10, 129
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectLinks.js", "JavaScript", 0, 123, 0, 0, 0, 12, 135
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectMetadata.js", "JavaScript", 0, 219, 0, 0, 0, 13, 232
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectSeasons.js", "JavaScript", 0, 167, 0, 0, 0, 14, 181
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectSponsors.js", "JavaScript", 0, 170, 0, 0, 0, 14, 184
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectStory.js", "JavaScript", 0, 140, 0, 0, 0, 12, 152
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/stakeholders/Buyers.js", "JavaScript", 0, 98, 0, 0, 0, 10, 108
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/stakeholders/LandStewards.js", "JavaScript", 0, 208, 0, 0, 0, 28, 236
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/stakeholders/Scientists.js", "JavaScript", 0, 36, 0, 0, 0, 7, 43
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/index.css", "CSS", 21, 0, 0, 0, 4, 6, 31
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/index.js", "JavaScript", 0, 13, 0, 0, 0, 2, 15
"Total", "-", 109, 3911, 206, 17, 70, 355, 4668
